                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6962,                 2.2499,                 1.3227,                0.79311,                0.68129,                0.77158,                0.38902,                 1.5953,                 1.4341,                 1.3198,               0.070174,               0.003314,               0.003314
                      1,                 1.4587,                 1.3136,                 1.1708,                0.65862,                0.68713,                0.71887,                0.36651,                 1.6206,                 1.4576,                 1.3267,               0.040043,              0.0065157,              0.0065157
                      2,                 1.4298,                 1.2355,                 1.1466,                0.46504,                0.55263,                0.47464,                 0.2318,                 1.7777,                  2.015,                 1.4348,              0.0097792,              0.0095854,              0.0095854
                      3,                  1.434,                 1.2006,                 1.1446,                0.77867,                0.63778,                0.71871,                0.38342,                  1.526,                 1.4091,                 1.2871,               0.009406,               0.009406,               0.009406
                      4,                 1.3506,                 1.1193,                 1.1192,                0.77552,                0.52047,                0.63336,                0.33592,                 1.6214,                 1.6126,                 1.3178,               0.009406,               0.009406,               0.009406
                      5,                 1.3251,                 1.0774,                 1.1102,                0.77404,                0.58095,                0.67569,                0.34113,                 1.7384,                 1.4063,                 1.3777,               0.009208,               0.009208,               0.009208
                      6,                 1.3061,                 1.0245,                 1.0974,                 0.8189,                0.70175,                0.78542,                 0.4417,                 1.4921,                 1.1481,                 1.2555,                0.00901,                0.00901,                0.00901
                      7,                 1.2609,                0.98336,                  1.083,                0.79612,                0.74269,                0.78664,                0.43369,                 1.5539,                 1.1468,                 1.2734,               0.008812,               0.008812,               0.008812
                      8,                 1.2438,                0.95253,                 1.0756,                0.78335,                0.69591,                0.77203,                0.42782,                 1.5671,                 1.0964,                 1.3055,               0.008614,               0.008614,               0.008614
                      9,                 1.2057,                0.91473,                 1.0591,                0.83463,                0.72222,                 0.8291,                0.42917,                 1.6566,                 1.1316,                 1.3249,               0.008416,               0.008416,               0.008416
                     10,                  1.182,                0.87684,                 1.0492,                0.78366,                 0.7414,                0.80121,                0.44604,                 1.5437,                 1.0659,                 1.2456,               0.008218,               0.008218,               0.008218
                     11,                 1.1549,                0.84981,                 1.0337,                0.81732,                0.74854,                0.80937,                0.46207,                 1.5204,                0.99973,                 1.2611,                0.00802,                0.00802,                0.00802
                     12,                 1.1534,                0.81757,                 1.0343,                0.85424,                0.76608,                0.84978,                0.48151,                 1.5377,                0.93016,                 1.2829,               0.007822,               0.007822,               0.007822
                     13,                 1.1348,                0.81618,                 1.0268,                0.82741,                0.81305,                0.86817,                0.49589,                  1.463,                0.91423,                 1.2375,               0.007624,               0.007624,               0.007624
                     14,                 1.1223,                0.79074,                 1.0248,                0.86221,                0.82337,                 0.8643,                0.50376,                 1.4444,                0.86752,                 1.2123,               0.007426,               0.007426,               0.007426
                     15,                 1.1048,                0.76973,                 1.0178,                0.82454,                0.73099,                0.80832,                0.46046,                 1.4653,                 1.0265,                 1.2109,               0.007228,               0.007228,               0.007228
                     16,                 1.0846,                0.75599,                 1.0042,                0.88289,                0.74949,                0.83871,                0.46281,                 1.4601,                0.93765,                 1.2353,                0.00703,                0.00703,                0.00703
                     17,                 1.0885,                0.74784,                 1.0062,                0.84203,                0.79532,                0.86901,                0.46542,                 1.6105,                0.94073,                 1.3133,               0.006832,               0.006832,               0.006832
                     18,                 1.0705,                 0.7224,                 1.0013,                0.84687,                0.80702,                 0.8679,                0.50302,                 1.4634,                0.90536,                 1.2145,               0.006634,               0.006634,               0.006634
                     19,                  1.054,                0.72412,                0.99272,                0.85426,                0.76901,                0.85589,                 0.4949,                 1.4635,                0.88967,                 1.2021,               0.006436,               0.006436,               0.006436
                     20,                 1.0338,                0.70065,                0.98478,                0.87544,                 0.7807,                0.86367,                0.50887,                  1.458,                0.86089,                 1.2123,               0.006238,               0.006238,               0.006238
                     21,                 1.0281,                0.68724,                0.98632,                0.88651,                0.79825,                0.87956,                  0.522,                 1.4171,                0.87285,                 1.1895,                0.00604,                0.00604,                0.00604
                     22,                 1.0227,                0.68558,                0.97957,                0.89449,                0.80994,                0.88314,                0.53507,                 1.3617,                0.81575,                 1.1679,               0.005842,               0.005842,               0.005842
                     23,                 1.0151,                0.67342,                0.97407,                0.84497,                0.81276,                0.86928,                0.50401,                 1.4589,                0.89059,                   1.22,               0.005644,               0.005644,               0.005644
                     24,                 1.0092,                 0.6653,                0.97956,                0.89435,                0.80409,                0.87923,                0.51174,                 1.4189,                0.81074,                 1.1895,               0.005446,               0.005446,               0.005446
                     25,                0.99048,                 0.6478,                0.97193,                0.89293,                0.78036,                 0.8719,                0.51585,                 1.3967,                0.87672,                 1.1921,               0.005248,               0.005248,               0.005248
                     26,                0.99606,                0.64357,                0.97205,                0.85902,                0.82456,                0.87745,                0.52207,                 1.4311,                 0.8254,                 1.1857,                0.00505,                0.00505,                0.00505
                     27,                0.96807,                0.62669,                0.95977,                0.89622,                0.81579,                0.89459,                0.54887,                 1.3627,                0.78401,                 1.1638,               0.004852,               0.004852,               0.004852
                     28,                0.96053,                0.62039,                0.95544,                0.90115,                0.81287,                0.89304,                0.54886,                 1.4107,                0.77546,                 1.1453,               0.004654,               0.004654,               0.004654
                     29,                0.94909,                0.60917,                 0.9517,                0.87491,                0.85898,                0.90259,                0.54827,                 1.3378,                0.74708,                 1.1395,               0.004456,               0.004456,               0.004456
                     30,                0.93934,                0.59969,                0.95165,                0.92494,                0.82873,                0.90068,                0.54209,                 1.3902,                0.75338,                 1.1768,               0.004258,               0.004258,               0.004258
                     31,                0.93408,                0.59742,                0.94636,                0.93114,                0.80409,                0.89841,                0.56352,                  1.325,                0.73774,                 1.1265,                0.00406,                0.00406,                0.00406
