                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5808,                 2.4443,                 1.3188,                0.86967,                0.62281,                0.77072,                0.38775,                 1.6039,                 2.0469,                 1.3021,               0.070297,              0.0033003,              0.0033003
                      1,                 1.4414,                 1.3991,                 1.2198,                 0.7914,                 0.7076,                0.75316,                0.41443,                 1.5373,                   1.39,                 1.2605,               0.040166,              0.0065023,              0.0065023
                      2,                 1.4205,                 1.2694,                 1.1965,                0.74334,                 0.5848,                0.66387,                0.34679,                 1.6642,                 1.7036,                 1.4009,              0.0099023,              0.0095723,              0.0095723
                      3,                 1.3931,                 1.2279,                 1.2039,                0.76981,                0.68448,                0.75239,                0.38978,                 1.5698,                 1.3421,                 1.3328,               0.009406,               0.009406,               0.009406
                      4,                 1.3677,                 1.1431,                 1.1809,                0.68883,                0.65205,                0.67523,                0.34767,                 1.6676,                 1.6281,                 1.3522,               0.009406,               0.009406,               0.009406
                      5,                 1.3328,                 1.0932,                 1.1699,                 0.7224,                0.61111,                0.65079,                0.33018,                 1.6834,                 1.4707,                 1.3493,               0.009208,               0.009208,               0.009208
                      6,                 1.3043,                 1.0378,                 1.1621,                0.79357,                0.75314,                0.78715,                0.43873,                 1.5882,                 1.1451,                 1.2655,                0.00901,                0.00901,                0.00901
                      7,                  1.287,                0.98232,                 1.1355,                0.85139,                0.70359,                 0.8004,                0.46993,                 1.4702,                  1.112,                 1.2629,               0.008812,               0.008812,               0.008812
                      8,                 1.2634,                0.95821,                 1.1341,                0.86209,                0.74941,                0.84157,                0.48743,                 1.4799,                 1.0575,                 1.2508,               0.008614,               0.008614,               0.008614
                      9,                 1.2218,                0.90343,                 1.1114,                0.84315,                0.72301,                0.82254,                0.46175,                 1.5071,                 1.0825,                 1.2629,               0.008416,               0.008416,               0.008416
                     10,                 1.1909,                0.86861,                 1.1012,                0.85948,                0.72807,                 0.8117,                 0.4646,                 1.5513,                 1.0188,                 1.3074,               0.008218,               0.008218,               0.008218
                     11,                 1.1801,                0.84025,                 1.0826,                0.85273,                0.74494,                0.81533,                0.47046,                 1.4469,                 1.0548,                 1.2029,                0.00802,                0.00802,                0.00802
                     12,                 1.1607,                0.82867,                 1.0863,                0.81695,                0.72515,                0.77546,                0.44165,                 1.5425,                 1.0737,                 1.2534,               0.007822,               0.007822,               0.007822
                     13,                 1.1496,                0.79504,                 1.0737,                0.85479,                 0.7924,                0.84146,                 0.5173,                 1.3904,                0.94523,                 1.1861,               0.007624,               0.007624,               0.007624
                     14,                  1.123,                0.76574,                 1.0667,                0.86812,                0.76993,                0.84183,                0.50602,                 1.3778,                0.92739,                 1.1804,               0.007426,               0.007426,               0.007426
                     15,                 1.0932,                0.74085,                 1.0559,                0.83345,                0.77193,                 0.8155,                 0.4321,                 1.5722,                 1.0329,                 1.2761,               0.007228,               0.007228,               0.007228
                     16,                 1.0915,                0.73494,                 1.0473,                0.83429,                0.78021,                0.84423,                 0.5084,                   1.38,                0.88642,                 1.1984,                0.00703,                0.00703,                0.00703
